Name,Age,Nationality,Overall,Potential,Club,Value,Wage
G. Defrel,26,France,76,78,Roma,9500000,67000
Yuri Berchiche,27,Spain,78,78,Paris Saint-Germain,8500000,67000
Yuri Berchiche,27,Spain,78,78,Paris Saint-Germain,8500000,67000
E. Giaccherini,32,Italy,77,77,Chievo Verona,7000000,67000
Adrian,30,Spain,78,78,West Ham United,6500000,67000
C. Thereau,34,France,77,77,Fiorentina,4500000,67000
O. Toprak,27,Turkey,82,83,Borussia Dortmund,21000000,66000
Camacho,27,Spain,81,82,VfL Wolfsburg,17000000,66000
J. Guilavogui,26,France,80,82,VfL Wolfsburg,15000000,66000
L. Piszczek,32,Poland,83,83,Borussia Dortmund,14500000,66000
G. Castro,30,Germany,80,80,Borussia Dortmund,13500000,66000
A. Schuerrle,26,Germany,79,79,Borussia Dortmund,13500000,66000
J. Shelvey,25,England,78,80,Newcastle United,12500000,66000
J. Shelvey,25,England,78,80,Newcastle United,12500000,66000
A. Potuk,26,Turkey,77,78,Fenerbahçe SK,10500000,66000
A. Mitrović,22,Serbia,76,81,Fulham,10500000,66000
M. Ekici,27,Turkey,77,77,Fenerbahçe SK,9500000,66000
N. Dirar,31,Morocco,77,77,Fenerbahçe SK,8000000,66000
H. Arter,27,Republic of Ireland,76,76,Bournemouth,8000000,66000
A. Surman,30,England,76,76,Bournemouth,7000000,66000
S. Davis,32,Northern Ireland,75,75,Southampton,5000000,66000
B. Traore,21,Burkina Faso,79,85,Olympique Lyonnais,17500000,65000
Sergi Darder,23,Spain,79,85,RCD Espanyol,17000000,65000
C. Aranguiz,28,Chile,80,80,Bayer 04 Leverkusen,14500000,65000
K. Schmeichel,30,Denmark,82,82,Leicester City,14000000,65000
J. Lens,29,Netherlands,79,79,Beşiktaş JK,12500000,65000
K. Trapp,26,Germany,80,81,Paris Saint-Germain,12000000,65000
Borja Bastón,24,Spain,76,81,Malaga CF,10500000,65000
J. Aquino,27,Mexico,77,77,Tigres U.A.N.L.,9500000,65000
T. Deeney,29,England,77,77,Watford,9000000,65000
D. Pabón,29,Colombia,77,77,Monterrey,8500000,65000
Mariano,31,Brazil,79,79,Galatasaray SK,8000000,65000
I. Sosa,30,Argentina,76,76,Tigres U.A.N.L.,7500000,65000
F. Fernandez,28,Argentina,77,77,Swansea City,7000000,65000
A. Nyom,29,Cameroon,76,76,West Bromwich Albion,6000000,65000
Alisson,24,Brazil,84,90,Roma,31000000,64000
João Mario,24,Portugal,81,84,West Ham United,22500000,64000
L. Bender,28,Germany,83,83,Bayer 04 Leverkusen,21000000,64000
P. Zieliński,23,Poland,80,87,Napoli,20500000,64000
L. Paredes,23,Argentina,80,85,Zenit St. Petersburg,19500000,64000
M. Brozović,24,Croatia,80,82,Inter,18000000,64000
J. Murillo,25,Colombia,80,84,Valencia CF,16000000,64000
H. Maguire,24,England,79,83,Leicester City,14000000,64000
Fernando,25,Brazil,79,84,Spartak Moscow,14000000,64000
M. Vecino,25,Uruguay,79,82,Inter,13500000,64000
Jese,24,Spain,76,79,Stoke City,10000000,64000
V. Eysseric,25,France,76,77,Fiorentina,9000000,64000
A. Conti,23,Italy,75,81,Milan,9000000,64000
D. Poloz,25,Russia,76,76,Zenit St. Petersburg,8500000,64000
C. Chambers,22,England,75,82,Arsenal,8000000,64000
I. Popov,29,Bulgaria,76,76,Rubin Kazan,7500000,64000
M. Bešić,24,Bosnia Herzegovina,75,80,Middlesbrough,7500000,64000
Eduardo,34,Portugal,74,74,Chelsea,2300000,64000
M. Sabitzer,23,Austria,81,84,RB Leipzig,22500000,63000
Bruma,22,Portugal,80,85,RB Leipzig,20000000,63000
M. Arnold,23,Germany,79,84,VfL Wolfsburg,16500000,63000
M. Sakho,27,France,80,81,Crystal Palace,14000000,63000
D. Demme,25,Germany,79,81,RB Leipzig,13000000,63000
B. Mee,27,England,80,80,Burnley,12500000,63000
R. Funes Mori,26,Argentina,78,79,Monterrey,12500000,63000
R. Funes Mori,26,Argentina,78,79,Monterrey,12500000,63000
F. Lejeune,26,France,78,80,Newcastle United,10500000,63000
N. Şahin,28,Turkey,79,79,Borussia Dortmund,10000000,63000
A. Hurtado,30,Colombia,78,78,Monterrey,10000000,63000
A. Hurtado,30,Colombia,78,78,Monterrey,10000000,63000
Naldo,34,Brazil,84,84,FC Schalke 04,9500000,63000
M. Schmelzer,29,Germany,79,79,Borussia Dortmund,9500000,63000
A. Barnes,27,Austria,77,77,Burnley,9500000,63000
A. Gray,26,England,76,79,Watford,9500000,63000
M. Zarate,30,Argentina,77,77,Velez Sarsfield,8500000,63000
S. Vokes,27,Wales,76,76,Burnley,8000000,63000
D. Gayle,26,England,75,76,Newcastle United,8000000,63000
C. Clark,27,Republic of Ireland,76,77,Newcastle United,7500000,63000
Joselu,27,Spain,75,75,Newcastle United,7000000,63000
M. Isla,29,Chile,77,77,Fenerbahçe SK,6500000,63000
M. Yoshida,28,Japan,75,75,Southampton,5500000,63000
J. Pied,28,France,73,73,Southampton,3200000,63000
S. Savić,26,Montenegro,82,85,Atletico Madrid,23000000,62000
S. Verdi,24,Italy,81,83,Bologna,22000000,62000
K. Bellarabi,27,Germany,81,81,Bayer 04 Leverkusen,18500000,62000
M. Politano,23,Italy,79,84,Sassuolo,17000000,62000
F. Acerbi,29,Italy,81,81,Sassuolo,14000000,62000
Juanfran,32,Spain,82,82,Atletico Madrid,12500000,62000
Gabi,33,Spain,81,81,Atletico Madrid,10500000,62000
S. Hanni,26,Algeria,76,77,Spartak Moscow,9000000,62000
F. Valverde,18,Uruguay,74,85,RC Deportivo de La Coruña,9000000,62000
K. Gibbs,27,England,77,77,West Bromwich Albion,7500000,62000
A. Hegazi,26,Egypt,76,78,West Bromwich Albion,7500000,62000
L. Narsingh,26,Netherlands,75,75,Swansea City,7000000,62000
C. Fuchs,31,Austria,76,76,Leicester City,5000000,62000
L. Ulloa,30,Argentina,73,73,Brighton & Hove Albion,3900000,62000
W. Morgan,33,Jamaica,76,76,Leicester City,3100000,62000
B. Leno,25,Germany,85,88,Bayer 04 Leverkusen,34000000,61000
P. Kimpembe,21,France,80,88,Paris Saint-Germain,19000000,61000
Iago Falque,27,Spain,80,80,Torino,15500000,61000
R. Bentancur,20,Uruguay,75,88,Juventus,12500000,61000
P. Højbjerg,21,Denmark,76,81,Southampton,10000000,61000
W. Hoedt,23,Netherlands,76,82,Southampton,9000000,61000
S. Cook,26,England,77,78,Bournemouth,8500000,61000
M. Topal,31,Turkey,78,78,Fenerbahçe SK,7000000,61000
F. Forster,29,England,76,77,Southampton,6000000,61000
Fernandão,30,Brazil,74,74,Fenerbahçe SK,5500000,61000
S. Francis,32,England,76,76,Bournemouth,4400000,61000
Sergi Samper,22,Spain,72,79,FC Barcelona,3700000,61000
A. Gómez,29,Argentina,84,84,Atalanta,31000000,60000
K. Glik,29,Poland,84,84,AS Monaco,24000000,60000
M. Parolo,32,Italy,81,81,Lazio,13500000,60000
S. Lulić,31,Bosnia Herzegovina,79,79,Lazio,11000000,60000
C. Wood,25,New Zealand,77,79,Burnley,11000000,60000
J. Cork,28,England,78,78,Burnley,10500000,60000
L. Fabiański,32,Poland,80,80,Swansea City,8500000,60000
A. Mehmedi,26,Switzerland,76,76,VfL Wolfsburg,8500000,60000
S. Sinclair,28,England,76,76,Celtic,8000000,60000
J. McArthur,29,Scotland,76,76,Crystal Palace,7500000,60000
N. Dyer,29,England,74,74,Swansea City,5500000,60000
M. Miazga,21,United States,73,80,Vitesse,4900000,60000
Joel Robles,27,Spain,74,75,Everton,4400000,60000
S. Byram,23,England,73,77,West Ham United,4300000,60000
J. McClean,28,Republic of Ireland,73,73,West Bromwich Albion,4000000,60000
M. Stekelenburg,34,Netherlands,73,73,Everton,1600000,60000
Parejo,28,Spain,84,84,Valencia CF,31000000,59000
K. Volland,24,Germany,81,83,Bayer 04 Leverkusen,22500000,59000
F. Smolov,27,Russia,81,81,FC Krasnodar,19000000,59000
Lucas Leiva,30,Brazil,82,82,Lazio,16500000,59000
G. Medel,29,Chile,81,81,Beşiktaş JK,14000000,59000
S. Bender,28,Germany,80,80,Bayer 04 Leverkusen,12000000,59000
G. Mendes Rodrigues,26,Cape Verde,78,78,Galatasaray SK,11000000,59000
Pepe Reina,34,Spain,83,83,Napoli,10500000,59000
D. Vida,28,Croatia,79,79,Beşiktaş JK,10000000,59000
Jordi Amat,25,Spain,77,82,Real Betis Balompie,10000000,59000
G. Imbula,24,France,76,81,Toulouse FC,10000000,59000
K. Babacar,24,Senegal,76,80,Sassuolo,10000000,59000
A. Begović,30,Bosnia Herzegovina,80,80,Bournemouth,9500000,59000
B. Martins Indi,25,Netherlands,77,80,Stoke City,9500000,59000
Marc Muniesa,25,Spain,77,81,Girona CF,9500000,59000
J. Iturbe,24,Paraguay,76,78,Club Tijuana,9500000,59000
Marçal,28,Brazil,77,77,Olympique Lyonnais,7000000,59000
E. Vargas,27,Chile,75,75,Tigres U.A.N.L.,7000000,59000
C. Kameni,33,Cameroon,79,79,Fenerbahçe SK,6500000,59000
D. D'Ambrosio,28,Italy,76,76,Inter,6000000,59000
Luis Neto,29,Portugal,76,76,Fenerbahçe SK,6000000,59000
M. Gonalons,28,France,76,76,Roma,6000000,59000
A. Ranocchia,29,Italy,76,76,Inter,6000000,59000
N. Tomović,29,Serbia,76,76,Chievo Verona,6000000,59000
W. Caballero,35,Argentina,79,79,Chelsea,3000000,59000
Douglas,26,Brazil,69,69,SL Benfica,900000,59000
A. Belotti,23,Italy,82,87,Torino,30000000,58000
M. Škriniar,22,Slovakia,81,88,Inter,21500000,58000
G. Kondogbia,24,France,81,85,Valencia CF,19500000,58000
E. Hysaj,23,Albania,80,84,Napoli,16000000,58000
G. Lo Celso,21,Argentina,77,84,Paris Saint-Germain,12500000,58000
Y. Poulsen,23,Denmark,77,82,RB Leipzig,12000000,58000
J. Guðmundsson,26,Iceland,78,78,Burnley,11000000,58000
R. Steffen,25,Switzerland,76,77,VfL Wolfsburg,9000000,58000
A. Lennon,30,England,77,77,Burnley,8500000,58000
T. Cleverley,27,England,76,76,Watford,8000000,58000
A. McCarthy,27,England,76,77,Southampton,6000000,58000
C. Sanchez,32,Uruguay,76,76,Monterrey,6000000,58000
G. Gómez,24,Paraguay,74,77,Milan,6000000,58000
H. Saivet,26,Senegal,74,74,Medicana Sivasspor,6000000,58000
G. Hooper,29,England,74,74,Sheffield Wednesday,5500000,58000
M. Diame,30,Senegal,74,74,Newcastle United,5000000,58000
Luis Alberto,24,Spain,81,86,Lazio,24000000,57000
Felipe Anderson,24,Brazil,81,84,Lazio,22500000,57000
O. Ndidi,20,Nigeria,80,86,Leicester City,17500000,57000
J. Brooks,24,United States,80,85,VfL Wolfsburg,17000000,57000
W. Orban,24,Germany,80,82,RB Leipzig,15500000,57000
A. Dzagoev,27,Russia,80,80,CSKA Moscow,15000000,57000
Rafael,26,Brazil,78,78,Olympique Lyonnais,9000000,57000
Rafael,26,Brazil,78,78,Olympique Lyonnais,9000000,57000
I. Afellay,31,Netherlands,75,75,Stoke City,6000000,57000
J. Morrison,31,Scotland,75,75,West Bromwich Albion,6000000,57000
J. Livermore,27,England,74,74,West Bromwich Albion,6000000,57000
C. Brunt,32,Northern Ireland,74,74,West Bromwich Albion,4400000,57000
S. Clucas,26,England,73,73,Swansea City,4200000,57000
J. Hugill,25,England,72,76,West Ham United,4100000,57000
J. Harrison,20,England,70,84,Middlesbrough,3900000,57000
C. Adam,31,Scotland,73,73,Stoke City,3400000,57000
D. Fletcher,33,Scotland,74,74,Stoke City,3300000,57000
J. Morel,33,France,76,76,Olympique Lyonnais,3100000,57000
W. Routledge,32,England,73,73,Swansea City,3100000,57000
S. Milinković-Savić,22,Serbia,83,89,Lazio,35000000,56000
Mario Rui,26,Portugal,78,79,Napoli,10000000,56000
T. Abraham,19,England,74,85,Swansea City,9500000,56000
Juan Jesus,26,Brazil,78,78,Roma,9000000,56000
F. Caicedo,28,Ecuador,77,77,Lazio,9000000,56000
L. Tonelli,27,Italy,77,79,Napoli,8500000,56000
V. Chiricheş,27,Romania,77,77,Napoli,7500000,56000
Vitor Hugo,26,Brazil,76,78,Fiorentina,7500000,56000
J. Stanislas,27,England,75,75,Bournemouth,7000000,56000
D. Glushakov,30,Russia,77,77,Spartak Moscow,6500000,56000
Bruno Peres,27,Brazil,76,76,Roma,6500000,56000
E. Derdiyok,29,Switzerland,75,75,Galatasaray SK,6500000,56000
A. Chahechouhe,30,Morocco,75,75,Fenerbahçe SK,6500000,56000
J. Gomez,20,England,73,85,Liverpool,6500000,56000
C. Sanchez,31,Colombia,77,77,RCD Espanyol,6000000,56000
L. Melgarejo,26,Paraguay,74,74,Spartak Moscow,6000000,56000
Castan,30,Brazil,76,76,Cagliari,5500000,56000
S. Johnstone,24,England,74,80,Aston Villa,5500000,56000
M. Holgate,20,England,73,82,Everton,5500000,56000
R. Holding,21,England,73,83,Arsenal,5500000,56000
A. Hutchinson,34,Canada,80,80,Beşiktaş JK,4500000,56000
D. Gosling,27,England,73,73,Bournemouth,4100000,56000
D. Payet,30,France,84,84,Olympique de Marseille,29500000,55000
G. Burgstaller,28,Austria,79,79,FC Schalke 04,13000000,55000
A. Townsend,25,England,78,79,Crystal Palace,12500000,55000
R. Brady,25,Republic of Ireland,77,78,Burnley,10500000,55000
H. Winks,21,England,75,84,Tottenham Hotspur,10000000,55000
J. Tomkins,28,England,78,79,Crystal Palace,9500000,55000
J. Tomkins,28,England,78,79,Crystal Palace,9500000,55000
Ayoze Perez,23,Spain,75,81,Newcastle United,9500000,55000
A. Musa,24,Nigeria,75,78,CSKA Moscow,8500000,55000
M. Lowton,28,England,78,78,Burnley,8000000,55000
M. Lowton,28,England,78,78,Burnley,8000000,55000
C. Atsu,25,Ghana,75,76,Newcastle United,8000000,55000
E. Capoue,28,France,76,76,Watford,6000000,55000
C. Ortiz,28,Paraguay,76,76,Monterrey,6000000,55000
E. Pieters,28,Netherlands,75,75,Stoke City,5500000,55000
S. Berahino,23,England,73,78,Stoke City,5500000,55000
C. Davies,32,England,77,77,Derby County,5000000,55000
C. Yacob,29,Argentina,75,75,West Bromwich Albion,5000000,55000
M. Olsson,29,Sweden,75,75,Swansea City,5000000,55000
T. Carroll,25,England,73,78,Swansea City,5000000,55000
M. James,25,England,73,75,Leicester City,4800000,55000
K. Naughton,28,England,74,74,Swansea City,4400000,55000
F. Forestieri,27,Italy,73,73,Sheffield Wednesday,4300000,55000
P. Verhaegh,33,Netherlands,76,76,VfL Wolfsburg,3000000,55000
A. Correa,22,Argentina,80,86,Atletico Madrid,20500000,54000
O. Özyakup,24,Turkey,80,85,Beşiktaş JK,19500000,54000
A. Ljajić,25,Serbia,80,82,Torino,18000000,54000
A. Doucoure,24,France,80,84,Watford,16500000,54000
Manuel Fernandes,31,Portugal,81,81,Lokomotiv Moscow,15500000,54000
S. Vrsaljko,25,Croatia,80,83,Atletico Madrid,15500000,54000
D. Baselli,25,Italy,79,82,Torino,15500000,54000
V. Ćorluka,31,Croatia,82,82,Lokomotiv Moscow,15000000,54000
G. Simeone,21,Argentina,78,85,Fiorentina,15000000,54000
G. Simeone,21,Argentina,78,85,Fiorentina,15000000,54000
P. Schick,21,Czech Republic,77,87,Roma,14500000,54000
A. Areola,24,France,80,84,Paris Saint-Germain,14000000,54000
J. Tarkowski,24,England,79,82,Burnley,13500000,54000
J. Veretout,24,France,78,83,Fiorentina,13500000,54000
E. Rigoni,24,Argentina,78,81,Zenit St. Petersburg,13000000,54000
E. Rigoni,24,Argentina,78,81,Zenit St. Petersburg,13000000,54000
J. Lascelles,23,England,78,83,Newcastle United,12000000,54000
J. Lascelles,23,England,78,83,Newcastle United,12000000,54000
M. Benassi,22,Italy,77,82,Fiorentina,11500000,54000
S. Radu,30,Romania,80,80,Lazio,11000000,54000
N. Maksimović,25,Serbia,78,81,Spartak Moscow,11000000,54000
D. Kuzyaev,24,Russia,77,80,Zenit St. Petersburg,11000000,54000
S. Driussi,21,Argentina,76,83,Zenit St. Petersburg,11000000,54000
P. Gulacsi,27,Hungary,79,80,RB Leipzig,10000000,54000
J. Farfan,32,Peru,79,79,Lokomotiv Moscow,10000000,54000
D. Yedlin,23,United States,76,81,Newcastle United,8500000,54000
R. Inglese,25,Italy,75,78,Chievo Verona,8500000,54000
A. Poli,27,Italy,76,76,Bologna,8000000,54000
L. Quiñones,26,Colombia,75,76,Deportivo Toluca,8000000,54000
B. Džemaili,31,Switzerland,77,77,Bologna,7500000,54000
S. Aziz,26,Turkey,76,78,Galatasaray SK,7500000,54000
S. Longo,25,Italy,73,76,CD Tenerife,5000000,54000
J. Brandt,21,Germany,82,88,Bayer 04 Leverkusen,30500000,53000
J. Gimenez,22,Uruguay,83,87,Atletico Madrid,28500000,53000
M. Philipp,23,Germany,78,83,Borussia Dortmund,14000000,53000
Y. Konoplyanka,27,Ukraine,79,79,FC Schalke 04,13000000,53000
P. Ntep,24,France,77,80,AS Saint-Étienne,11500000,53000
L. Milivojević,26,Serbia,78,81,Crystal Palace,11000000,53000
L. Milivojević,26,Serbia,78,81,Crystal Palace,11000000,53000
M. Halstenberg,25,Germany,78,79,RB Leipzig,10000000,53000
M. Halstenberg,25,Germany,78,79,RB Leipzig,10000000,53000
J. Bruma,25,Netherlands,77,81,VfL Wolfsburg,9500000,53000
L. Griffiths,26,Scotland,75,76,Celtic,8000000,53000
A. Pulido,26,Mexico,75,76,Guadalajara,8000000,53000
Kiko Femenia,26,Spain,76,77,Watford,7500000,53000
S. Okaka,27,Italy,75,75,Watford,7000000,53000
D. Janmaat,27,Netherlands,76,76,Watford,6500000,53000
J. Urretaviscaya,27,Uruguay,74,74,Monterrey,6000000,53000
L. Vangioni,30,Argentina,76,76,Monterrey,5500000,53000
S. Prödl,30,Austria,76,76,Watford,5500000,53000
S. Dann,30,England,76,76,Crystal Palace,5500000,53000
B. Afobe,24,DR Congo,73,77,Wolverhampton Wanderers,5500000,53000
S. Brown,32,Scotland,77,77,Celtic,5000000,53000
P. Aguilar,31,Mexico,76,76,Club America,5000000,53000
S. Ward,31,Republic of Ireland,76,76,Burnley,5000000,53000
R. Neustädter,29,Russia,75,75,Fenerbahçe SK,5000000,53000
O. Peralta,33,Mexico,75,75,Club America,4200000,53000
J. Menez,30,France,73,73,Club America,3900000,53000
J. Holebas,33,Greece,77,77,Watford,3400000,53000
J. Walters,33,Republic of Ireland,73,73,Burnley,2500000,53000
C. Martina,27,Curacao,71,71,Everton,2000000,53000
L. Stindl,28,Germany,81,81,Borussia Mönchengladbach,18500000,52000
M. Dahoud,21,Germany,79,87,Borussia Dortmund,18500000,52000
R. Guerreiro,23,Portugal,80,85,Borussia Dortmund,16500000,52000
Mario Fernandes,26,Russia,81,81,CSKA Moscow,15000000,52000
A. Consigli,30,Italy,82,82,Sassuolo,14000000,52000
D. Berardi,22,Italy,78,83,Sassuolo,14000000,52000
D. Berardi,22,Italy,78,83,Sassuolo,14000000,52000
N. Ake,22,Netherlands,78,85,Bournemouth,12500000,52000
P. Groß,26,Germany,78,80,Brighton & Hove Albion,12500000,52000
A. Mooy,26,Australia,78,79,Huddersfield Town,12000000,52000
F. Muslera,31,Uruguay,81,81,Galatasaray SK,11000000,52000
F. Di Francesco,23,Italy,76,83,Bologna,11000000,52000
P. Wernbloom,31,Sweden,80,80,CSKA Moscow,10000000,52000
L. Krejči,24,Czech Republic,76,79,Bologna,10000000,52000
T. Hernandez,19,France,75,85,Real Madrid CF,9000000,52000
L. Zelarayan,25,Argentina,75,80,Tigres U.A.N.L.,9000000,52000
G. Gonzalez,29,Costa Rica,76,76,Bologna,6000000,52000
A. Erokhin,27,Russia,74,74,Zenit St. Petersburg,6000000,52000
A. Yusupov,27,Russia,74,74,FC Rostov,6000000,52000
J. Dueñas,28,Mexico,75,75,Tigres U.A.N.L.,5500000,52000
C. Dawson,27,England,75,75,West Bromwich Albion,5500000,52000
M. Sau,29,Italy,74,74,Cagliari,5500000,52000
A. Hakimi,18,Morocco,73,85,Real Madrid CF,5500000,52000
D. Simpson,30,England,75,75,Leicester City,4800000,52000
G. Cameron,31,United States,75,75,Stoke City,4500000,52000
Y. Benalouane,30,Tunisia,74,74,Leicester City,4200000,52000
K. Bartley,26,England,73,75,Swansea City,4000000,52000
R. Huth,32,Germany,74,74,Leicester City,3200000,52000
G. Johnson,32,England,73,73,Stoke City,2200000,52000
Àngel Rangel,34,Spain,73,73,Swansea City,1100000,52000
Malcom,20,Brazil,82,90,Girondins de Bordeaux,33000000,51000
Iago Aspas,29,Spain,84,84,RC Celta de Vigo,30500000,51000
M. Balotelli,26,Italy,83,83,OGC Nice,28500000,51000
T. Heaton,31,England,81,81,Burnley,11000000,51000
A. Lunev,25,Russia,79,81,Zenit St. Petersburg,10500000,51000
P. Mamaev,28,Russia,78,78,FC Krasnodar,10500000,51000
D. Calabria,20,Italy,75,85,Milan,9500000,51000
F. Quagliarella,34,Italy,80,80,Sampdoria,8000000,51000
Éder,29,Portugal,76,76,Lokomotiv Moscow,7500000,51000
R. Saïss,27,Morocco,76,77,Wolverhampton Wanderers,7500000,51000
A. Smith,26,England,75,76,Bournemouth,6500000,51000
J. Błaszczykowski,31,Poland,75,75,VfL Wolfsburg,6000000,51000
H. Kaldırım,27,Turkey,75,75,Fenerbahçe SK,5500000,51000
S. Özbayraklı,27,Turkey,75,75,Fenerbahçe SK,5500000,51000
C. Daniels,30,England,75,75,Bournemouth,4800000,51000
I. Köybaşı,27,Turkey,74,74,Fenerbahçe SK,4600000,51000
S. Arfield,28,Canada,73,73,Burnley,4000000,51000
B. Celina,20,Kosovo,71,81,Ipswich Town,3800000,51000
L. Marrone,27,Italy,72,72,Bari,2600000,51000
Aleix Febas,21,Spain,69,78,Real Zaragoza,1600000,51000
A. Kramarić,26,Croatia,81,83,TSG 1899 Hoffenheim,22000000,50000
B. Höwedes,29,Germany,83,83,Juventus,20000000,50000
J. Butland,24,England,81,86,Stoke City,17000000,50000
D. Caligiuri,29,Italy,80,80,FC Schalke 04,14500000,50000
L. Vietto,23,Argentina,78,84,Valencia CF,14500000,50000
Raffael,32,Brazil,81,81,Borussia Mönchengladbach,14000000,50000
L. Alario,24,Argentina,78,81,Bayer 04 Leverkusen,13500000,50000
K. Casteels,25,Belgium,80,83,VfL Wolfsburg,13000000,50000
Richarlison,20,Brazil,76,86,Watford,12500000,50000
T. Cairney,26,Scotland,78,79,Fulham,12000000,50000
R. Pizarro,23,Mexico,77,83,Guadalajara,12000000,50000
J. Locadia,23,Netherlands,77,81,Brighton & Hove Albion,12000000,50000
W. Hughes,22,England,76,85,Watford,12000000,50000
D. Pröpper,25,Netherlands,77,80,Brighton & Hove Albion,11000000,50000
S. Mounie,22,Benin,76,83,Huddersfield Town,11000000,50000
K. Iheanacho,20,Nigeria,75,84,Leicester City,10500000,50000
B. Natcho,29,Israel,78,78,CSKA Moscow,10000000,50000
B. Natcho,29,Israel,78,78,CSKA Moscow,10000000,50000
V. Denisov,30,Uzbekistan,79,79,Lokomotiv Moscow,9000000,50000
A. Knockaert,25,France,76,77,Brighton & Hove Albion,9000000,50000
A. Granqvist,32,Sweden,80,80,FC Krasnodar,8500000,50000
S. Rode,26,Germany,77,78,Borussia Dortmund,8500000,50000
J. Baumgartlinger,29,Austria,78,78,Bayer 04 Leverkusen,8000000,50000
M. Destro,26,Italy,75,76,Bologna,8000000,50000
A. Ibargueen,25,Colombia,75,76,Club America,8000000,50000
M. Bauer,25,Austria,75,78,Stoke City,7000000,50000
L. Depoitre,28,Belgium,75,75,Huddersfield Town,7000000,50000
N. Mendy,25,France,75,76,OGC Nice,6500000,50000
D. Falcinelli,26,Italy,74,75,Fiorentina,6500000,50000
